.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	564	901	643	658	557	309	505	545	567	506	5	76	762
L2	564	0	845	564	574	547	272	448	496	513	478	4	39	716
LI	901	845	0	892	912	855	624	737	831	838	800	5	73	1064
LP	643	564	892	0	651	546	295	509	541	572	512	1	74	759
ERP	658	574	912	651	0	568	310	513	550	571	510	13	75	773
EDR	557	547	855	546	568	0	331	447	534	534	521	6	23	759
LCSS	309	272	624	295	310	331	0	230	270	291	276	11	5	477
DTW	505	448	737	509	513	447	230	0	449	468	418	11	39	670
OSB	545	496	831	541	550	534	270	449	0	516	473	3	39	712
FFT(L2)	567	513	838	572	571	534	291	468	516	0	498	2	52	743
FFT(DTW)	506	478	800	512	510	521	276	418	473	498	0	2	28	709
ACF(L2)	5	4	5	1	13	6	11	11	3	2	2	0	9	13
ACF(DTW)	76	39	73	74	75	23	5	39	39	52	28	9	0	64
CDM	762	716	1064	759	773	759	477	670	712	743	709	13	64	0
