.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
1	4	2	9	0	3	4	0	4	3	3	3	2	3	3	4	0	3	3	3	0	3	0	3	2	0	4	0	4	4	2	3	0	0	4	3	0	4	3	4	3	4	2	4	4	4	4
2	3	0	18	2	0	3	0	3	0	0	0	2	2	0	3	0	0	0	0	0	0	0	0	0	0	3	0	2	3	3	0	2	0	3	0	0	3	0	3	0	3	2	3	3	3	3
3	0	0	22	2	0	0	0	55	0	0	0	3	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	17	2	0	0	2	117	0	0	0	2	0	0	0	3	0	0	0	2	0	2	0	3	2	0	2	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	8	2	0	0	2	62	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	0	2	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0
6	0	0	3	2	0	0	2	90	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	2	2	0	3	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
7	0	0	0	2	0	0	2	16	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	2	3	0	2	0	0	2	0	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0
8	0	0	0	2	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	4	0	0	2	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
9	0	0	0	2	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	0	2	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10	0	0	0	2	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	2	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
