.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	8496	8738	8447	8890	7918	9035	9166	8413	9267	8400	8619	8636	8773
L2	8496	0	9068	8408	8898	7899	8909	9174	8375	9197	8401	8571	8487	8719
LI	8738	9068	0	8583	9118	8499	9067	9482	9068	9428	8805	8836	8804	9413
LP	8447	8408	8583	0	8959	7904	9031	9110	8363	9161	8469	8576	8402	8920
ERP	8890	8898	9118	8959	0	8205	9345	9463	8841	9582	8770	9144	9129	9182
EDR	7918	7899	8499	7904	8205	0	8150	8483	7808	8534	8078	7887	7772	7699
LCSS	9035	8909	9067	9031	9345	8150	0	9765	8800	9623	8884	9264	9333	9311
DTW	9166	9174	9482	9110	9463	8483	9765	0	9165	9761	8818	8871	8876	9200
OSB	8413	8375	9068	8363	8841	7808	8800	9165	0	9186	8417	8606	8457	8651
FFT(L2)	9267	9197	9428	9161	9582	8534	9623	9761	9186	0	8980	9116	9322	9396
FFT(DTW)	8400	8401	8805	8469	8770	8078	8884	8818	8417	8980	0	8406	8382	8244
ACF(L2)	8619	8571	8836	8576	9144	7887	9264	8871	8606	9116	8406	0	7852	9162
ACF(DTW)	8636	8487	8804	8402	9129	7772	9333	8876	8457	9322	8382	7852	0	9667
CDM	8773	8719	9413	8920	9182	7699	9311	9200	8651	9396	8244	9162	9667	0
