.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
L1	2	0	33	1835	103	3	85	4243	120	1	0	2663	540	0	1	38	0	1	853	633	0	1148	1536	1270	168	2	107	2	4	2600	1	0	0	1	30	12	1	23	1	0	2	1	4	1	1	1
L2	0	0	32	1877	89	2	84	4362	48	0	0	2597	629	0	0	20	0	1	789	600	0	1252	1462	1281	156	1	77	1	5	2448	1	0	0	0	27	10	0	11	0	0	0	0	4	0	0	0
LI	0	0	32	1912	73	2	69	4816	90	2	0	2590	729	0	0	8	0	0	760	579	0	1560	1650	1116	177	1	69	0	3	2234	0	0	0	0	29	7	0	0	0	0	1	0	6	1	0	0
LP	1	0	32	1877	83	2	82	4180	128	7	0	2697	558	0	0	38	0	2	789	555	4	1148	1552	1126	168	1	73	1	5	2603	1	0	0	0	30	13	0	0	0	0	1	1	3	2	0	0
ERP	2	2	32	1914	141	3	77	4243	211	18	0	1815	520	1	1	114	1	5	942	593	5	916	1467	1150	168	1	82	0	7	2598	2	1	0	0	62	26	1	45	2	1	2	0	6	0	1	1
EDR	0	1	32	2201	102	0	80	2315	118	7	0	2342	637	0	0	86	1	14	1582	621	8	258	1622	707	136	2	86	0	0	2584	10	1	1	1	7	15	0	0	1	0	1	0	1	0	0	0
LCSS	1	1	2	1897	139	1	80	4922	196	14	1	2084	427	0	1	93	2	10	891	646	1	1092	1488	1180	132	1	120	1	1	2450	10	0	0	2	88	14	2	31	2	0	1	1	1	1	1	1
DTW	0	1	0	1901	105	0	111	3708	194	21	1	2186	606	0	0	53	0	3	859	631	4	1246	1556	1362	149	0	87	0	0	2648	3	0	0	0	50	17	0	41	0	0	0	0	0	0	0	0
OSB	0	0	0	1878	91	0	84	4442	42	0	0	2598	712	1	0	20	0	1	780	594	0	1240	1460	1278	163	0	76	0	0	2448	1	0	0	0	28	9	0	12	0	0	0	0	0	0	0	0
FFT(L2)	0	0	0	1870	72	0	53	4171	163	5	0	2133	481	0	0	68	0	1	849	724	0	1086	1615	1206	173	0	53	0	0	2420	2	2	0	0	34	12	0	1	0	0	0	0	0	0	0	0
FFT(DTW)	0	0	0	1831	131	0	60	4147	218	13	0	2523	266	1	0	68	0	0	820	576	0	1360	1078	1334	168	0	65	0	0	1674	5	3	1	0	61	34	0	0	0	1	0	0	0	0	0	0
ACF(L2)	0	3	0	1763	77	0	68	3990	137	11	0	2671	222	1	0	11	0	4	859	640	1	1306	1942	1151	121	0	55	0	0	2833	5	2	0	0	37	11	0	29	0	0	0	0	0	0	0	0
ACF(DTW)	0	0	0	1907	48	0	68	3675	136	11	0	1633	297	1	0	5	0	5	897	455	2	1378	1498	1174	125	0	72	0	0	1	7	3	0	0	56	20	0	38	0	0	0	0	0	0	0	0
CDM	0	0	0	1623	118	0	65	4564	96	12	0	1900	650	2	0	62	0	2	894	576	4	1123	1683	1007	123	0	72	0	0	3235	3	1	1	0	45	12	0	65	0	0	0	0	0	0	0	0
